ndb_no,nrfi,long_name,manufacturer,serving_size,serving_size_uom,household_serving_size,household_serving_size_uom,energy_per_serving,energy_per_serving_uom
45039656,-0.238804727793,"MEIJER, COOK & SERVE PUDDING & PIE FILLING, CHOCOLATE","Meijer, Inc.",25.0,g,0.25,"OF PACKAGE, (MAKES 1/2 CUP)",100.0,kcal
45039657,-0.131186872721,INSTANT PUDDING & PIE FILLING,"Meijer, Inc.",24.0,g,0.25,PACKAGE (MAKES 1/2 CUP),90.0,kcal
45039659,-0.838095247746,CANOLA OIL,"Meijer, Inc.",14.0,g,1.0,Tbsp,119.979995728,kcal
45039663,-0.113352008164,PEANUT OIL,"Meijer, Inc.",14.0,g,1.0,Tbsp,119.979995728,kcal
45039664,0.0,"MEIJER, INSTANT PUDDING & PIE FILLING, BANANA CREAM","Meijer, Inc.",24.0,g,0.25,PACKAGE (MAKES 1/2 CUP),90.0,kcal
45039667,-0.0066666668281,VEGETABLE OIL,"Meijer, Inc.",14.0,g,1.0,Tbsp,119.979995728,kcal
45039669,-0.0736848786473,"MEIJER, GELATIN DESSERT, RASPBERRY","Meijer, Inc.",21.0,g,0.125,OF PACKAGES MAKES 0.5 CUP,80.0100021362,kcal
45039670,0.3457865417,PUDDING SNACKS CHOCOLATE FUDGE,"Meijer, Inc.",92.0,g,1.0,cup,110.400001526,kcal
45039671,-0.0773642286658,"MEIJER, INSTANT PUDDING & PIE FILLING, CHOCOLATE","Meijer, Inc.",28.0,g,0.25,"PACKAGE, MAKES 0.5 CUP",110.040000916,kcal
45039672,0.354647785425,PUDDING SNACKS TAPIOCA,"Meijer, Inc.",92.0,g,1.0,PUDDING CUP,110.400001526,kcal
45039674,-0.0128205129877,"MEIJER, SUGAR FREE & FAT FREE INSTANT PUDDING & PIE FILLING, BUTTERSCOTCH","Meijer, Inc.",10.0,g,0.25,"OF PACKAGE, MAKES 0.5 CUP",35.0,kcal
45039675,0.0244969390333,"MEIJER, GELATIN DESSERT, STRAWBERRY","Meijer, Inc.",21.0,g,0.25,"OF PACKAGE, MAKES 0.5 CUP",80.0100021362,kcal
45039717,-0.042169727385,"MEIJER, DESSERT GELATIN, BERRY BLUE","Meijer, Inc.",21.0,g,0.25,OF PACKAGE,80.0100021362,kcal
45039720,0.283812969923,COLBY & MONTEREY JACK CHEESE,"Meijer, Inc.",28.0,g,1.0,""" CUBE",110.040000916,kcal
45039721,-0.0261180158705,"MEIJER, INSTANT PUDDING & PIE FILLING, CHOCOLATE","Meijer, Inc.",28.0,g,0.166999995708,PACKAGE (MAKES 1/2 CUP),99.9599990845,kcal
45039722,0.258837044239,UNFLAVORED GELATIN,"Meijer, Inc.",7.0,g,1.0,ENVELOPE,30.0299987793,kcal
45039723,0.357467621565,GELATIN,"Meijer, Inc.",7.0,g,1.0,PACKET,30.0299987793,kcal
45039724,-0.0832183882594,INSTANT PUDDING & PIE FILLING,"Meijer, Inc.",24.0,g,0.25,PACKAGE,90.0,kcal
45039725,-0.201537534595,CORN OIL,"Meijer, Inc.",14.0,g,1.0,Tbsp,119.979995728,kcal
